Indicator code,Indicator name,Pillar
AG.LND.AGRI.ZS,Agricultural land (% of land area),E
AG.LND.FRST.ZS,Forest area (% of land area),E
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),E
AG.SRF.TOTL.K2,Surface area (sq. km),E
CC.EST,Control of Corruption: Estimate,Unknown
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking  (% of population),E
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2021 PPP GDP),E
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",E
EG.ELC.ACCS.ZS,Access to electricity (% of population),E
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),E
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),E
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),E
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",E
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),E
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),E
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",E
EN.GHG.ALL.LU.MT.CE.AR5,Total greenhouse gas emissions including LULUCF (Mt CO2e),E
EN.GHG.ALL.MT.CE.AR5,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),E
EN.GHG.ALL.PC.CE.AR5,Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),E
EN.GHG.CH4.AG.MT.CE.AR5,Methane (CH4) emissions from Agriculture (Mt CO2e),E
EN.GHG.CH4.BU.MT.CE.AR5,Methane (CH4) emissions from Building (Energy) (Mt CO2e),E
EN.GHG.CH4.FE.MT.CE.AR5,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),E
EN.GHG.CH4.IC.MT.CE.AR5,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),E
EN.GHG.CH4.IP.MT.CE.AR5,Methane (CH4) emissions from Industrial Processes (Mt CO2e),E
