,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.3663,2.3287,3.0969,11.7946,0.0373,0.027,3906.8989,4715.8807,1.0005
beta_E,0.0052,0.0382,-0.0645,0.0796,0.0005,0.0004,5683.8149,5455.7403,1.0004
beta_S,-0.0716,0.0492,-0.1608,0.0216,0.0008,0.0006,4189.8329,4945.6161,1.0005
beta_G,0.0151,0.0153,-0.0129,0.0448,0.0002,0.0002,6278.5182,5436.7181,1.0008
gamma_inflation,-0.0042,0.0041,-0.0119,0.0033,0.0,0.0001,8026.8631,5466.6812,1.0005
gamma_pop,0.4023,0.167,0.0825,0.7089,0.0021,0.0017,6617.4333,6096.8503,1.0011
u_i[0],-3.1938,0.9614,-4.9862,-1.3814,0.0162,0.0127,3592.4834,3999.3905,1.0003
u_i[1],-0.2044,1.0022,-2.2045,1.5923,0.0171,0.0114,3455.7523,4659.6868,1.0007
u_i[2],-0.5763,0.9001,-2.3271,1.0794,0.0166,0.0128,2987.9581,3615.3064,1.0005
u_i[3],0.0307,0.9685,-1.7721,1.8603,0.0174,0.0124,3141.6276,4229.7137,1.0005
u_i[4],0.1444,0.8276,-1.415,1.7015,0.0157,0.0121,2843.0825,3521.2373,1.0003
u_i[5],1.0743,0.8202,-0.4603,2.6081,0.0148,0.0129,3150.9393,3663.4811,1.0006
u_i[6],-0.9728,0.811,-2.5338,0.5244,0.0155,0.0119,2818.9297,3820.1052,1.0007
u_i[7],1.7918,0.826,0.2471,3.324,0.0151,0.0127,3091.422,3511.9076,1.0009
u_i[8],0.6357,0.8081,-0.864,2.1319,0.0149,0.0133,3010.5156,3590.5842,1.001
u_i[9],1.4148,0.8979,-0.2628,3.0772,0.0147,0.0128,3799.3277,4093.3643,1.0001
sigma_u,1.7636,0.5482,0.8788,2.7814,0.0082,0.0101,4919.8765,5170.5538,1.0007
sigma,4.7107,0.1417,4.4424,4.9757,0.0015,0.0017,8859.0691,5923.3566,1.0006
